,cas_number,chemical_name
0,50000,Formalin
1,50011,Guanidine monohydrochloride
2,50022,11beta.16alpha-9-Fluoro-11.17.21-Trihydroxy-16-methyl-pregna-1.4-diene-3.20-dione
3,50033,(11beta)-21-Acetyloxy)-11.17-dihydroxypregn-4-ene-3.20-dione
4,50044,21-(Acetyloxy)-17-hydroxypregn-4-ene-3.11.20-trione
5,50066,5-Ethyl-5-phenyl-2.4.6(1H.3H.5H)-pyrimidinetrione
6,50077,(1aS.8S.8aR.8bS)-6-Amino-8-[[(aminocarbonyl)oxy]methyl]-1.1a.2.8.8a.8b-hexahydro-8a-methoxy-5-methyl-azirino[2'.3':3.4]pyrrolo[1.2-a]indole-4.7-dione
7,50099,5-(1-Cyclohexen-1-yl)-1.5-dimethyl-2.4.6(1H.3H.5H)-pyrimidinetrione. Sodium salt
8,50135,1-Methyl-4-phenyl-4-piperidinecarboxylic acid ethyl ester hydrochloride (1:1)
9,50146,(1S.3Z)-[(1R.2E.4R)-1.4.5-Trimethyl-2-hexen-1-yl]-4H-inden-4-ylidene]ethylidene]-4-methylene-3-[(2E)-2-[(1R.3aS.7aR)-octahydro-7a-methyl-1-cyclohexanol
10,50180,N.N-Bis(2-chloroethyl)tetrahydro-2H-1.3.2-oxazaphosphorin-2-amine 2-oxide
11,50215,2-Hydropropanoic acid
12,50226,(11 beta)-11.21-Dihydroxypregn-4-ene-3.20-dione
13,50237,(11B)-11.17.21-Trihydroxypregna-4-ene-3.20-dione
14,50248,(11beta)-11.17.21-Trihydroxypregna-1.4-diene-3.20-dione
15,50271,(16 alpha. 17 beta)-Estra-1.3.5(10)-triene-3.16.17-triol
16,50282,(17beta)Estra-1.3.5(10)triene-3.17-diol
17,50293,1.1'-(2.2.2-Trichloroethylidene)bis[4-chlorobenzene]
18,50306,2.6-Dichlorobenzoic acid
19,50317,2.3.6-Trichlorobenzoic acid
20,50328,Benzo[a]pyrene
21,50339,4-Butyl-1.2-diphenyl-3.5-pyrazolidinedione
22,50340,N-Methyl-N-(1-methylethyl)-N-[2-[(9H-xanthen-9-ylcarbonyl)oxy]ethyl]-2-propanaminium bromide (1:1)
23,50351,2-(2.6-Dioxo-3-piperidinyl)-1H-isoindole-1.3(2H)dione
24,50362,(1R.2R.3S.5S)-3-(Benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid methyl ester
25,50373,(8 beta)-9.10-Didehydro-N.N-diethyl-6-methylergoline-8-carboxamide
26,50431,2.4.6-Trichlorobenzoic acid
27,50442,1.7-Dihydro-6H-purine-6-thione
28,50453,2.3-Dichlorobenzoic acid
29,50486,3-(10.11-Dihydro-5H-dibenzo[a.d]cyclohepten-5-ylidene)-N.N-dimethyl-1-propanamine
30,50497,Imipramine
31,50500,(17beta)Estra-1.3.5(10)triene-3.17-diol-3-benzoate
32,50522,10-[2-(1-Methyl-2-piperidinyl)ethyl]-2-(methylthio)-10H-phenothiazine
33,50533,2-Chloro-N.N-dimethyl-10H-phenothiazine-10-propanamine
34,50555,Reserpine
35,50566,Oxytocin
36,50599,(6R-trans)-1-[[2-Carboxy-8-oxo-7-[(2-thienylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl]pyridinium. Hydrochloride. Inner salt
37,50602,3-[[(4.5-Dihydro-1H-imidazol-2-yl)methyl](4-methylphenyl)amino]phenol
38,50635,N4-(7-Chloro-4-quinolinyl)-N'.N'-diethyl-1.4-pentanediamine. Phosphate (1:2)
39,50657,5-Chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide
40,50668,6-Methylmercaptopurine
41,50679,3-(2-Aminoethyl)-1H-indol-5-ol
42,50691,D-Ribose
43,50704,D-Glucitol
44,50715,Alloxan
45,50737,2.3.5-Trichlorobenzoic acid
46,50759,2.3.4-Trichlorobenzoic acid
47,50760,1H-Pyrrolo[2.1-i][1.4.7.10.13]oxatetraazacyclohexadecine. cyclic peptide deriv.
48,50782,2-(Acetyloxy)benzoic acid
49,50793,2.5-Dichlorobenzoic acid
50,50817,L-Ascorbic acid
51,50828,2.4.5-Trichlorobenzoic acid
52,50840,2.4-Dichlorobenzoic acid
53,50895,Thymidine
54,50919,2'-Deoxy-5-fluorouridine
55,50997,D-Glucose
56,51036,5-[[2-(2-Butoxyethoxy)ethoxy]methyl]-6-propyl-1.3-benzodioxole
57,51058,4-Aminobenzoic acid 2-(diethylamino)ethyl ester hydrochloride (1:1)
58,51149,5-[1-[2-(2-Ethoxyethoxy)ethoxy]ethoxy]-1.3-benzodioxole
59,51150,2-[(Hydroxyimino)methyl]-1-methylpyridinium chloride
60,51172,Benzimidazole
61,51183,2.4.6-Tris(1-aziridinyl)-1.3.5-Triazine
62,51207,5-Bromo-2.4(1H.3H)-pyrimidinedione
63,51218,5-Fluoro-2.4(1H.3H)pyrionidinedione
64,51241,4-(4-Hydroxy-3-iodophenoxy)-3.5-diiodobenzeneacetic acid
65,51285,2.4-Dinitrophenol
66,51309,4-[1-Hydroxy-2-[(1-methylethyl)amino]ethyl]1.2-benzenediol hydrochloride (1:1)
67,51354,trans-4-Hydroxy-L-proline
68,51365,3.5-Dichlorobenzoic acid
69,51398,3.4.5-Trichlorobenzoic acid
70,51401,3.4-[(1R)-2-Amino-1-hydroxyethyl]-1.2-benzenediol. (2R.3R)-2.3-Dihydroxybutanedioate (1:1)
71,51412,4-[(1R)-2-Amino-1-hydroxyethyl]-1.2-benzenediol
72,51423,4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1.2-benzenediol (2R.3R)-2.3-dihydroxybutanedioate (1:1)
73,51434,4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1.2-benzenediol
74,51445,3.4-Dichlorobenzoic acid
75,51456,1H-Imidazole-5-ethanamine
76,51489,O-(4-Hydroxy-3.5-diiodophenyl)-3.5-diiodo-L-tyrosine
77,51490,O-(4-Hydroxy-3.5-diiodophenyl)-3.5-diiodo-D-tyrosine
78,51503,N-(2-Chloroethyl)-N-(phenylmethyl)benzenemethanamine
79,51525,2.3-Dihydro-6-propyl-2-thioxo-4(1H)pyrimidinone
80,51558,endo(+-)-alpha-(Hydroxymethyl)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester  benzeneacetic acid
81,51570,N.alpha-Dimethyl-d-phenethylamine hydrochloride
82,51616,Dopamine
83,51638,(alphaS)-alpha-Methylbenzeneethanamine sulfate (2:1)
84,51649,(alphaS)-alpha-Methylbenzeneethanamine
85,51650,4-Fluoro-DL-phenylalanine
86,51672,4-(2-Aminoethyl)phenol
87,51752,2-Chloro-N-(2-chloroethyl)-N-methylethanamine
88,51785,4-Aminophenol hydrochloride
89,51796,Carbamic acid. Ethyl ester
90,51832,2-[(Aminocarbonyl)oxy]-N.N.N-trimethylethanaminium chloride
91,51843,2-(Acetyloxy)-N.N.N-trimethylethanaminium
92,52017,(7alpha.17alpha)-7-(Acetylthio)-17-hydroxy-3-oxopregn-4-ene-21-carboxylic acid. gamma-Lactone
93,52211,(11beta)-21-(Acetyloxy)-11.17-dihydroxy-pregna-1.4-diene-3.20-dione
94,52244,1.1'.1''-Phosphinothioylidynetrisaziridine
95,52266,(5alpha.6alpha)-7.8-Didehydro-4.5-epoxy-17-methyl-morphinan-3.6-diol. Hydrochloride (1:1)
96,52288,(5alpha.6alpha)-7.8-Didehydro-4.5-epoxy-3-methoxy-17-methylMorphinan-6-ol phosphate (1:1)
97,52391,(11Beta)-11.21-Dihydroxy-3.20-dioxo-pregn-4-en-18-al
98,52460,2.2.4.4.6.6-Hexahydro-2.2.4.4.6.6-hexakis(1-aziridinyl)-1.3.5.2.4.6-triazatriphosphorine
99,52517,2-Bromo-2-nitro-1.3-propanediol
100,52539,alpha-[3-[[2-(3.4-Dimethoxyphenyl)ethyl]methylamino]propyl]-3.4-dimethoxy-alpha-(1-methylethyl)benzeneacetonitrile
101,52608,Phosphorothioic acid O-[3.5-dimethyl-4-(methylthio)phenyl] O.O-diethyl ester
102,52675,3-Mercapto-D-valine
103,52686,P-(2.2.2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester
104,52857,O-[4[(Dimethylamino)sulfonyl]phenyl]O.O-dimethylester phosphorothioic acid
105,52868,4-[4-(4-Chlorophenyl)-4-hydroxy-1-piperidinyl]-1-(4-fluorophenyl)-1-butanone
106,52891,L-Cysteine hydrochloride
107,52904,L-Cysteine
108,53032,17.21-Dihydroxypregna-1.4-diene-3.11.20-trione
109,53065,17.21-Dihydroxy-pregn-4-ene-3.11.20-trione
110,53167,3-Hydroxyestra-1.3.5(10)trien-17-one
111,53190,1-Chloro-2-[2.2-dichloro-1-(4-chlorophenyl)ethyl]benzene
112,53214,(1R.2R.3S.5S)-3-(Benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid methyl ester hydrochloride (1:1)
113,53418,(3 alpha.5 alpha)-3-Hydroxyandrostan-17-one
114,53430,(3beta)-3-Hydroxyandrost-5-en-17-one
115,53601,N.N-Dimethyl-10H-phenothiazine-10-propanamine hydrochloride (1:1)
116,53703,Dibenz(a.h)anthracene
117,53792,3'-[[(2S)-2-Amino-3-(4-methoxyphenyl)-1-oxopropyl]amino]-3'-deoxy-N.N-dimethyladenosine 
118,53849,Nicotinamide dinucleotide
119,53861,1-(4-Chlorobenzoyl)-5-methoxy-2-methyl-1H-indole-3-acetic acid
120,53952,N-9H-Fluoren-2-yl-N-hydroxyacetamide
121,53963,N-9H-Fluoren-2-ylacetamide
122,54057,N4-(7-Chloro-4-quinolinyl)-N1.N1-diethyl-1.4-pentanediamine
123,54115,3-[(2S)-1-Methyl-2-pyrrolidinyl]pyridine
124,54126,Tryptophan
125,54217,2-Hydroxybenzoic acid. Sodium salt (1:1)
126,54251,2-beta-D-Ribofuranosyl-1.2.4-triaine-3.5(2H.4H)-dione
127,54284,[2R-[2R*(4R*.8R*)]]-3.4-Dihydro-2.7.8-trimethyl-2-(4.8.12-trimethyltridecyl)-2H-1-benzopyran-6-ol
128,54319,5-(Aminosulfonyl)-4-chloro-2-[(2-furanylmethyl)amino]benzoic acid
129,54353,(2S.5R.6R)-3.3-Dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid compd. with 2-(diethylamino)ethyl 4-aminobenzoate (1:1)
130,54364,2-Methyl-1.2-di-3-pyridinyl-1-propanone
131,54626,N-[4-[[(2.4-Diamino-6-pteridinyl)methyl]amino]benzoyl]-L-glutamic acid
132,54648,Ethyl(2-mercaptobenzoato-s)mercury sodium salt
133,54717,(3S-cis)-3[Ethyldihydro-4-[(1-methyl-1H-imidazo1-5-yl)methyl]-2(3H)-furanone monohydrochloride
134,54853,4-Pyridine carboxylic acid. Hydrazide
135,54875,1-[[(5-Nitro-2-furanyl)methylene]amino]-2.4-imidazolidinedione sodium salt
136,54955,6.7.8.9-Tetrahydro-5H-tetrazolo[1.5-a]azepine
137,55038,O-(4-Hydroxy-3.5-diiodophenyl)-3.5-diiodo-L-tyrosine. Monosodium salt
138,55163,alpha-(Hydroxymethyl)benzeneacetic acid. (alphaS)-(1alpha.2beta.4beta.5alpha.7beta)-9-Methyl-3-oxa-9-azatricyclo[3.3.1.02.4]non-7-yl ester. Hydrochloride (1:1)
139,55185,N-Ethyl-N-nitrosoethanamine
140,55210,Benzamide
141,55221,4-Pyridinecarboxylic acid
142,55276,dL-Noradrenaline hydrochloride
143,55312,4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1.2-benzenediol hydrochloride (1:1)
144,55378,Phosphorothioic acid O-[3.5-dimethyl-4-(methylthio)phenyl] O.O-dimethylester
145,55389,O.O-Dimethyl O-[3-methyl-4-(methylthio)phenyl]ester phosphorothioic acid
146,55436,N-2-Chloroethyl-dibenzylamine hydrochloride
147,55481,Benzeneacetic acid alpha-(hydroxymethyl)-(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester sulfate (2:1) (salt)
148,55550,4-Methylaminophenol sulfate
149,55561,N.N''-Bis(4-chlorophenyl)-3.12-diimino-2.4.11.13-tetraazatetradecanediimidamide
150,55630,1.2.3-Propanetriol. 1.2.3-Trinitrate
151,55685,(Nitrato-kappaO)phenylmercury
152,55867,2-Chloro-N-(2-chloroethyl)-N-methylethanamine hydrochloride
153,55914,Phosphorofluoridic acid bis(1-methylethyl)ester
154,55936,2.5-Hexanediol. Dimethyl sulfonate
155,55981,1.4-Butanediol. 1.4-Dimethanesulfonate
156,56042,2.3-Dihydro-6-methyl-2-thioxo-4(1H)-pyrimidinone
157,56064,2.6-Diamino-4(1H)pyrimidinone
158,56100,2-Aminoethyl ester carbamimidothioic acid dihydrobromide
159,56122,4-Aminobutanoic acid
160,56144,Butanedioic acid. Ion(2-)
161,56177,2.2'-Dithiobisethanamine dihydrochloride
162,56235,Tetrachloromethane
163,56246,Trimethyltin hydroxide
164,56257,(3aR.4S.7R.7aS)-rel-Hexahydro-3a.7a-dimethyl-4.7-epoxyisobenzofuran-1.3-dione
165,56291,5-(1-Cyclohexen-1-yl)-1.5-dimethyl-2.4.6(1H.3H.5H)-pyrimidinetrione
166,56348,N.N.N-Triethylethanaminium chloride
167,56359,1.1.1.3.3.3-Hexabutyldistannoxane
168,56360,(Acetyloxy)tributylstannane
169,56371,Benzyltriethylammonium chloride
170,56382,Phosphorothioic acid. O.O-Diethyl-O-(4-nitrophenyl)ester
171,56406,Glycine
172,56417,L-Alanine
173,56451,L-Serine
174,56495,1.2-Dihydro-3-methylbenz[j]aceanthrylene
175,56531,4.4'-[(1E)-1.2-Diethyl-1.2-ethenediyl]bisphenol
176,56542,(9S)-6'-Methoxycinchonan-9-ol
177,56553,Benz[a]anthracene
178,56575,4-Nitroquinoline 1-Oxide
179,56655,Adenosine-5'-(tetrahydrogen triphosphate)
180,56699,5-Hydroxytryptophan
181,56724,Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O.O-diethyl ester
182,56757,2.2-Dichloro-N-[(1R.2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]acetamide
183,56815,1.2.3-Propanetriol
184,56848,L-Aspartic acid
185,56859,L-Glutamine
186,56860,L-Glutamic acid
187,56871,L-Lysine
188,56893,L-Cystine
189,56939,N.N.N-Trimethylbenzenemethanaminium. Chloride
190,56951,N.N''-Bis(4-chlorophenyl)-3.12-diimino-2.4.11.13-tetraazatetradecanediimidamide. Diacetate
191,56973,1.1'-(1.3-Propanediyl)bis[4-[(hydroxyimino)methyl]pyridinium dibromide
192,57001,N-Aminoimino methyl)N-methylglycine
193,57067,3-Isothiocyanato-1-propene
194,57090,N.N.N-Trimethyl-1-hexadecanaminium. Bromide
195,57103,Hexadecanoic acid
196,57114,Stearic acid
197,57125,Cyanide
198,57136,Urea
199,57147,1.1-Dimethylhydrazine
200,57158,1.1.1-Trichloro-2-methyl-2-propanol
201,57227,22-Oxovincaleukoblatine
202,57249,Strychnidin-10-one
203,57272,(5alpha.6alpha)-7.8-Didehydro-4.5-epoxy-17-methylmorphinan-3.6-diol
204,57294,(5 alpha. 6 alpha)-7.8-Didehydro-4.5-epoxy-17-(2-propenyl)morphinan-3.6-diol hydrochloride
205,57307,5-Ethyl-5-phenyl-2.4.6(1H.3H.5H)-pyrimidinetrione sodium salt (1:1)
206,57330,5-Ethyl-5-(1-methylbutyl)-2.4.6(1H.3H.5H)-pyrimidinetrione sodium salt (1:1)
207,57396,1.1'.1''-Phosphinylidynetris[2-methyl]aziridine
208,57410,5.5-Diphenyl-2.4-imidazolidinedione
209,57432,Amobarbital
210,57443,5.5-Diethyl-2.4.6(1H.3H.5H)-pyrimidinetrione
211,57476,(3aS.8aR)-1.2.3.3a.8.8a-Hexahydro-1.3a.8-trimethylpyrrolo[2.3-b]indol-5-ol methylcarbamate (ester)
212,57487,D-Fructose
213,57501,alpha-D-Glucopyranoside. beta-D-Fructofuranosyl
214,57523,3.3.7.7-Tetraethyl-4.6-dioxa-5-thia-3.7-distannanonane. 5.5-Dioxide
215,57534,2-Methyl-2-propyl-1.3-propanediol dicarbamate
216,57556,1.2-Propanediol
217,57567,Semicarbazide
218,57578,2-Oxetanone
219,57603,2-Oxopropanoic acid. Ion(1-)
220,57625,(4S.4aS.5aS.6S.12aS)-7-Chloro-4-(dimethylamino)-1.4.4a.5.5a.6.11.12a-octahydro-3.6.10.12.12a-pentahydroxy-6-methyl-1.11-dioxo-2-naphthacenecarboxamide
221,57636,(17alpha)-19-Norpregna-1.3.5(10)-trien-20-yne-3.17-diol
222,57647,2-Hydroxybenzoic acid compd. with (3aS-cis)-1.2.3.3a.8.8a-Hexahydro-1.3a.8-trimethylpyrrolo[2.3-b]indol-5-yl methylcambamate (1:1)
223,57669,4-[(Dipropylamino)sulfonyl]benzoic acid
224,57670,4-Amino-N-(aminoiminomethyl)benzenesulfonamide
225,57681,4-Amino-N-(4.6-dimethyl-2-pyrimidinyl)benzenesulfonamide
226,57716,2.3-Butanedione. Monooxime
227,57749,1.2.4.5.6.7.8.8-Octachloro-2.3.3a.4.7.7a-hexahydro-4.7-methano-1H-indene
228,57830,Pregn-4-ene-3.20-dione
