,result_id,test_id,sample_size_mean,effect,effect_comments
0,700032,1251800,NR,POP,
1,706641,1257189,NC,DVP,
2,720707,1269409,NC,MOR,
3,17690,1050620,NC,PHY/,/
4,101728,1144309,NC,MOR,
5,112695,1000576,NC,MOR,
6,124514,1104129,NC,MOR,
7,143950,1001743,NC,MOR,
8,148217,1195131,NC,MOR,
9,153570,1188597,NC,ITX,
10,155091,1125098,NC,MOR,
11,156011,1124960,NC,POP,
12,156349,1001949,NC,MOR,
13,181299,1103857,NC,ITX,
14,194482,1110905,NC,MOR,
15,64161,1026963,NC,MOR,
16,207769,1038265,NC,FDB,
17,228059,1239409,NC,MOR,
18,221759,1032330,NC,MOR,
19,600367,1087736,NC,MOR,
20,603922,1091291,NC,MOR,
21,606003,1093372,NC,MOR,
22,606698,1094067,NC,MOR,
23,2406939,2202694,NR,PHY,
24,20528,1131609,NC,MOR,
25,29036,1124081,NC,BCM,
26,35766,1184782,NC,ACC,
27,44652,1096302,NC,PHY/,/
28,50527,1010258,NC,MOR,
29,107629,1145987,NC,BEH,
30,133974,1132785,NC,ACC,
31,153189,1196366,NC,ACC,
32,170260,1189238,NC,~INJ,
33,192582,1212452,NC,MOR,
34,208015,1197619,NC,MOR,
35,219519,1226317,NC,POP,
36,226538,1239531,NC,MOR,
37,237989,1142292,NC,ACC,
38,238162,1246857,NC,MOR,
39,242125,1245646,NC,GEN,
40,251923,1249697,NC,GEN,
41,2136430,2076819,NR,BEH,
42,702946,1254177,NC,POP,
43,25087,1059052,NC,MOR,
44,46404,1111441,NC,REP/,/
45,65859,1177094,NC,BEH,
46,70205,1032726,NC,MOR,
47,87428,1171044,NC,MOR/,/
48,87294,1170912,NC,MOR/,/
49,94869,1068463,NC,BEH/,/
50,93572,1172582,NC,MOR/,/
51,221318,1208962,NC,DVP,
52,2141421,2078196,NR,GEN,
53,2141627,2078340,NR,GRO,
54,2360070,2181778,,MOR,
55,798951,1338179,NC,MOR,
56,762964,1306086,NC,MOR,
57,708133,1258313,NC,MOR,
58,782330,1323229,NC,ENZ,
59,760078,1303560,NC,MOR,
60,797932,1337328,NC,BCM,
61,797231,1336733,NC,MOR,
62,777071,1318613,NC,MOR,
63,730324,1277160,NC,MOR,
64,707826,1258050,NC,MOR,
65,738724,1284705,NC,MOR,
66,750075,1294907,NC,BCM,
67,1013007,513452,NC,BCM,
68,1021186,1078,NR,MOR,
69,1021531,4219,NR,MOR,
70,1022909,55870,NR,POP,
71,1023824,429284,NC,MOR,
72,1046952,589072,NC,MOR,
73,1051709,465307,NC,GRO,
74,1062225,524344,NC,INJ,
75,1070124,554221,NC,REP,
76,1075385,565121,NC,PHY,
77,1082687,438880,NC,ACC,
78,1085674,593549,NC,PHY,
79,1090637,565332,NC,BCM,
80,1103109,508737,NC,REP,
81,1105698,461624,NC,GRO,
82,1110599,476700,NC,GRO,
83,1118324,535716,NC,DVP,
84,1120857,530638,NC,POP,
85,1126075,538879,NC,BCM,
86,1131405,577541,NC,POP,
87,1144039,575232,NC,MOR,
88,1146447,535799,NC,MOR,
89,1158955,409280,NR,MPH,
90,1172145,564971,NC,GRO,
91,1182164,56179,NR,HIS,
92,1186816,54444,NR,MOR,
93,1187164,52369,2,ENZ,
94,1190345,4912,NR,MOR,
95,1201271,19954,NR,BCM,
96,1210621,32695,NR,INJ,
97,1220272,44706,NR,GEN,
98,1222870,47618,70,GRO,
99,1223149,46510,5,GRO,
100,1227131,522958,NR,MOR,
101,1227808,53241,NR,ENZ,
102,1239984,492253,NR,DVP,
103,2009483,2005393,NR,MOR,
104,2015910,2008755,9,DVP,
105,2022608,2013493,NR,MOR,
106,2031254,2018849,NR,ITX,
107,2034326,2020191,NR,CEL,
108,2036265,2021688,NR,POP,
109,2040762,2025106,NR,POP,
110,2042338,2026413,NR,POP,
111,2044560,2028128,NR,MOR,
112,2049084,2031086,NR,ENZ,
113,2059521,447813,NR,POP,
114,2061864,2037296,NR,REP,
115,2067028,2040354,NR,GRO,
116,2078641,2047924,NR,MPH,
117,2091711,2054710,,ENZ,
118,2092450,2055235,NR,CEL,
119,2108064,2057216,NC,POP,
120,2116263,2069811,NC,MOR,
121,2116789,2066093,NC,MOR,
122,2117799,2074580,NC,ITX,
123,2118128,2067876,NC,REP,
124,2123621,2063173,NC,REP,
125,2127014,2057124,NC,MOR,
126,2129307,2065198,NC,GRO,
127,2129573,2065255,NC,MOR,
128,2131400,2067696,NC,MOR,
129,2132660,2075375,NR,ENZ,
130,2162058,2088765,5,GEN,
131,2171019,2093302,NR,POP,
132,2174200,2094728,NR,POP,
133,2198539,2108793,6,BCM,
134,2214827,2117728,30,~BEH,
135,2223547,2122681,NR,POP,
136,2225562,2123552,NR,ITX,
137,2227668,2124392,NR,POP,
138,2227674,2124398,NR,POP,
139,2232291,2126384,NR,POP,
140,2232841,2126594,NR,MOR,
141,2238224,2129110,NR,MOR,
142,2247166,2133409,NR,POP,
143,2251947,2136078,,BCM,
144,2252030,2136153,NR,POP,
145,2256134,2137844,NR,ACC,
146,2257793,2138367,,BEH,
147,2258159,2138601,NR,GEN,
148,2264198,2140864,NR,MOR,
149,2264963,2141041,NR,POP,
150,2268124,2142120,NR,ACC,
151,2283129,2148371,16,ENZ,
152,2286364,2149590,NR,PHY,
153,2286651,2149666,9,ACC,
154,2288758,2150687,NR,REP,
155,2290924,2152266,NR,GRO,
156,2303101,2157658,NR,POP,
157,2325781,2166860,NR,MOR,
158,2343903,2174380,NR,POP,
159,2346142,2175125,NR,MOR,
160,2366848,2183502,NR,DVP,
161,2372562,2186164,,GRO,
162,2372692,2186237,NR,INJ,
163,2381556,2190392,NR,GRO,
164,2379709,2189919,NR,MOR,
165,2384894,2191878,,MOR,
166,2392888,2196128,NR,POP,
167,2395003,2196919,3,ACC,
168,2397984,2197865,NR,GRO,
169,2399491,2198347,NR,MOR,
170,2401361,2199427,NR,REP,
171,2402245,2200012,NR,PHY,
172,20984,1143197,NC,MOR,
173,108012,1047376,NC,POP,
174,170646,1152742,NC,POP,
175,182736,1101244,NC,ITX,
176,180820,1210976,NC,CEL,
177,185552,1035811,NC,NOC,
178,154267,1114050,NC,ACC,
179,184510,1210531,NC,MOR,
180,192413,1215251,NC,MOR,
181,602469,1089838,NC,MOR,
182,24296,1018517,NC,MOR/,/
183,29529,1042484,NC,ACC,
184,45006,1198845,NC,~MOR,
185,46589,1081136,NC,MOR/,/
186,88724,1133380,NC,POP/,/
187,92966,1139255,NC,MOR/,/
188,120718,1103542,NC,ACC,
189,153242,1198383,NC,BCM,
190,230495,1175182,NC,BCM,
191,238931,1248047,NC,HRM,
192,245868,1237835,NC,BCM,
193,249240,1247041,NC,ENZ,
194,777656,1319127,NC,POP,
195,42913,1009124,NC,MOR/,/
196,50255,1043292,NC,POP/,/
197,62594,1125356,NC,MOR/,/
198,84455,1150639,5,MOR,
199,97278,1173393,NC,MOR/,/
200,161995,1052119,NC,MOR,
201,762163,1305355,NC,ENZ,
202,724841,1273522,NC,MOR,
203,802329,1341174,NC,PHY,
204,773615,1315442,NC,MOR,
205,2145070,2079848,NR,POP,
206,1025845,1459,NR,MOR,
207,1026125,4769,NR,MOR,
208,1026208,56953,NR,MPH,
209,1052245,491924,NC,POP,
210,1078135,411328,NC,POP,
211,1078069,412315,NC,REP,
212,1083249,483478,NC,GRO,
213,1085730,412925,NC,POP,
214,1085752,405809,48,GRO,
215,1123674,436259,NC,GRO,
216,1156947,409606,NR,BCM,
217,1162091,412352,NC,GRO,
218,1201405,563425,NR,INJ,
219,1205149,25800,NR,GRO,
220,1208032,29515,NR,GRO,
221,1219568,43780,NR,POP,
222,1223952,46330,NR,ACC,
223,1226819,48428,NR,ACC,
224,2006447,2004044,NR,REP,
225,2011841,2006758,7,GEN,
226,2023964,2014532,NR,DVP,
227,2031453,2018921,NR,ENZ,
228,2048776,2030849,NR,POP,
229,2059591,2036180,7,BCM,
230,2059593,2036180,4,BCM,
231,2085490,2051270,NR,BCM,
232,2091663,2054668,NR,ACC,
233,2095396,2056496,NR,MOR,
234,2128804,2066021,NC,DVP,
235,2133200,2075739,NR,POP,
236,2156424,2085281,NR,MOR,
237,2164979,2090402,NR,POP,
238,2167047,2091464,NR,POP,
239,2211595,2115602,10,HIS,
240,2245951,2132950,15,GEN,
241,2273523,2145205,3,ACC,
242,2280211,2147370,NR,ENZ,
243,2285307,2149145,,ACC,
244,2293354,2153528,NR,MOR,
245,2296070,2154701,3,BCM,
246,2296039,2154701,4,BCM,
247,2315968,2163301,NR,GRO,
248,2329720,2168073,NR,MOR,
249,2330385,2168261,NR,ENZ,
250,2333173,2169589,NR,MOR,
251,2365139,2183166,NR,PHY,
252,2375573,2187927,NR,MOR,
253,2393257,2196335,NR,BCM,
254,2394066,2196662,NR,POP,
255,2399437,2198337,NR,REP,
256,2411919,2205186,NR,BEH,
257,28763,1047589,NC,MOR,
258,73465,1139466,NC,PHY,
259,81123,1134132,NC,POP,
260,104267,1152710,NC,GRO,
261,116664,1054808,NC,ACC,
262,143884,1107201,NC,MOR,
263,211622,1225405,NC,POP,
264,218193,1221089,NC,ENZ,
265,2349227,2176253,NR,INJ,
266,10802,1024151,NC,MOR,
267,601391,1088760,NC,MOR,
268,608696,1096065,NC,MOR,
269,38433,1120460,NC,GRO/,/
270,41731,1107302,NC,MOR,
271,93170,1133412,NC,MOR,
272,111824,1054674,NC,ACC/,/
273,144552,1156884,NC,MOR,
274,146143,1167760,NC,ACC,
275,151085,1187666,NC,ACC,
276,183004,1209806,NC,POP,
277,199730,1070899,NC,MOR,
278,221535,1226830,NC,GEN,
279,230517,1175204,NC,PHY,
280,230722,1002338,NC,GRO,
281,245483,1163446,NC,MOR,
282,246917,1240587,NC,DVP,
283,78929,1127331,NC,MOR,
284,218401,1222869,NC,MOR,
285,2058837,2035778,NR,MOR,
286,726533,1275206,5,GEN,
287,731330,1278084,NC,MOR,
288,710876,1260611,NC,GEN,
289,779105,1320393,NC,GRO,
290,785972,1326601,NC,MOR,
291,756249,1300600,NC,BCM,
292,2142716,2078759,6,GEN,
293,746094,1291331,NC,MOR,
294,1001591,403872,NR,GRO,
295,1008889,594345,NC,POP,
296,2344544,2174584,NR,POP,
297,1021477,4186,NR,MOR,
298,1023927,463639,NC,REP,
299,2147460,2081191,NR,GRO,
300,1041295,446655,NC,GRO,
301,1059393,425242,NC,POP,
302,1072329,428813,NC,MOR,
303,1085093,414367,NC,DVP,
304,1090584,553040,NC,POP,
305,1095457,450166,NC,ENZ,
306,1177231,538135,NC,BCM,
307,1185242,2069,6,ACC,
308,1187744,4935,5,MOR,
309,1223970,46469,NR,ACC,
310,2008892,2005100,NR,GEN,
311,2014712,2007807,6,ACC,
312,2016185,2008925,30,MOR,
313,2030746,2018619,,GRO,
314,2041289,2025514,NR,MOR,
315,2057702,2035185,6,ENZ,
316,2086110,2051575,NR,ITX,
317,2087155,2052112,NR,POP,
318,2095283,2056394,NR,GRO,
319,2104946,2064815,NC,POP,
320,2114098,2064382,NC,MOR,
321,2116162,2060625,NC,DVP,
322,2118499,2056772,NC,MOR,
323,2118613,2073910,NC,GRO,
324,2134444,2076162,NR,POP,
325,2149211,2082022,80,MOR,
326,2150291,2082447,12,MOR,
327,2184829,2100680,NR,POP,
328,2184836,2100681,NR,POP,
329,2196727,2107968,NR,MOR,
330,2203304,2111368,NR,DVP,
