,species_number,family
0,1,Cyprinidae
1,2,Centrarchidae
2,3,Salmonidae
3,4,Salmonidae
4,5,Daphniidae
5,6,Gammaridae
6,7,Gammaridae
7,8,Daphniidae
8,9,Bacillariaceae
9,10,Portunidae
10,11,Crangonidae
11,12,Cardiidae
12,13,Agonidae
13,14,Cyprinidae
14,15,Gasterosteidae
15,16,Poeciliidae
16,17,Ictaluridae
17,18,Cyprinidae
18,19,Sparidae
19,20,Ictaluridae
20,21,Cyprinidae
21,22,Salmonidae
22,23,Salmonidae
23,24,Cypridopsidae
24,25,Cyprinidae
25,26,Gymnodiniaceae
26,27,Gammaridae
27,28,Poeciliidae
28,29,Physidae
29,30,Centrarchidae
30,31,Oocystaceae
31,32,Gadidae
32,34,Salmonidae
33,36,Brachycentridae
34,37,Pandalidae
35,38,Percidae
36,39,Palaemonidae
37,40,Glyceridae
38,41,Balanidae
39,42,Cyprinidae
40,43,Cyprinidae
41,44,Percidae
42,45,Cyprinidae
43,46,Cambaridae
44,47,Scenedesmaceae
45,48,Daphniidae
46,49,Salmonidae
47,50,Asellidae
48,51,Perlidae
49,52,Hyalellidae
50,53,Cambaridae
51,54,Daphniidae
52,55,Veneridae
53,56,Asteriidae
54,57,Cyprinodontidae
55,58,Nereididae
56,59,Moronidae
57,60,Cambaridae
58,61,Ephemeridae
59,62,Percidae
60,63,Palaemonidae
61,64,Cyprinidae
62,65,Centrarchidae
63,66,Salmonidae
64,67,Ostreidae
65,68,Salmonidae
66,69,Atherinidae
67,70,Daphniidae
68,71,Mugilidae
69,72,Palaemonidae
70,73,Poeciliidae
71,74,Penaeidae
72,75,Penaeidae
73,76,Portunidae
74,77,Penaeidae
75,78,Palaemonidae
76,79,Pteronarcyidae
77,80,Labridae
78,81,Chironomidae
79,82,Salmonidae
80,84,Petromyzontidae
81,85,Chironomidae
82,86,Cyprinodontidae
83,87,Heptageniidae
84,88,Cyprinodontidae
85,89,Centrarchidae
86,90,Salmonidae
87,91,Baetidae
88,92,Limnephilidae
89,93,Taeniopterygidae
90,94,Cyprinidae
91,95,Cyprinidae
92,96,Centrarchidae
93,97,Gasterosteidae
94,98,Naviculaceae
95,99,Perlidae
96,100,Centrarchidae
97,101,Cyprinodontidae
98,102,Cambaridae
99,103,Panopeidae
100,104,Chironomidae
101,105,Umbridae
102,106,Centrarchidae
103,107,Cyprinidae
104,108,Hydropsychidae
105,109,Adrianichthyidae
106,110,Sciaenidae
107,111,Physidae
108,112,Cyprinidae
109,113,Clariidae
110,114,Philodinidae
111,115,Naididae
112,116,Hydrobiidae
113,117,Physidae
114,118,Gammaridae
115,119,Ephemerellidae
116,120,Talitridae
117,121,Campanulariidae
118,122,Chironomidae
