,species_number,common_name,kingdom,family
0,1,Fathead Minnow,Animalia,Cyprinidae
1,2,Bluegill,Animalia,Centrarchidae
2,3,Brook Trout,Animalia,Salmonidae
3,4,Rainbow Trout,Animalia,Salmonidae
4,5,Water Flea,Animalia,Daphniidae
5,6,Scud,Animalia,Gammaridae
6,7,Scud,Animalia,Gammaridae
7,8,Water Flea,Animalia,Daphniidae
8,9,Diatom,Chromista,Bacillariaceae
9,10,Green Crab,Animalia,Portunidae
10,11,Sand Shrimp,Animalia,Crangonidae
11,12,Cockle,Animalia,Cardiidae
12,13,Hooknose,Animalia,Agonidae
13,14,Harlequinfish. Red Rasbora,Animalia,Cyprinidae
14,15,Stickleback Family,Animalia,Gasterosteidae
15,16,Western Mosquitofish,Animalia,Poeciliidae
16,17,Bullhead. Catfish,Animalia,Ictaluridae
17,18,Creek Chub,Animalia,Cyprinidae
18,19,Pinfish,Animalia,Sparidae
19,20,Channel Catfish,Animalia,Ictaluridae
20,21,Common Carp,Animalia,Cyprinidae
21,22,Chinook Salmon,Animalia,Salmonidae
22,23,Silver Salmon,Animalia,Salmonidae
23,24,Ostracod. Seed Shrimp,Animalia,Cypridopsidae
24,25,Goldfish,Animalia,Cyprinidae
25,26,Dinoflagellate,Chromista,Gymnodiniaceae
26,27,Scud,Animalia,Gammaridae
27,28,Guppy,Animalia,Poeciliidae
28,29,Pouch Snail,Animalia,Physidae
29,30,Green Sunfish,Animalia,Centrarchidae
30,31,Green Algae,Plantae,Oocystaceae
31,32,Cod,Animalia,Gadidae
32,34,Cutthroat Trout,Animalia,Salmonidae
33,36,Caddisfly,Animalia,Brachycentridae
34,37,Aesop Shrimp,Animalia,Pandalidae
35,38,Yellow Perch,Animalia,Percidae
36,39,Grass Shrimp.Freshwater Prawn,Animalia,Palaemonidae
37,40,Polychaete,Animalia,Glyceridae
38,41,Acorn Or Rock Barnacle,Animalia,Balanidae
39,42,Roach,Animalia,Cyprinidae
40,43,Tench,Animalia,Cyprinidae
41,44,Perch,Animalia,Percidae
42,45,Dace,Animalia,Cyprinidae
43,46,Crayfish,Animalia,Cambaridae
44,47,Green Algae,Plantae,Scenedesmaceae
45,48,Water Flea,Animalia,Daphniidae
46,49,Brown Trout,Animalia,Salmonidae
47,50,Aquatic Sowbug,Animalia,Asellidae
48,51,Stonefly,Animalia,Perlidae
49,52,Scud,Animalia,Hyalellidae
50,53,Crayfish,Animalia,Cambaridae
51,54,Water Flea,Animalia,Daphniidae
52,55,Northern Quahog Or Hard Clam,Animalia,Veneridae
53,56,Starfish,Animalia,Asteriidae
54,57,Mummichog,Animalia,Cyprinodontidae
55,58,Polychaete Worm,Animalia,Nereididae
56,59,Striped Bass,Animalia,Moronidae
57,60,Crayfish,Animalia,Cambaridae
58,61,Mayfly,Animalia,Ephemeridae
59,62,Logperch,Animalia,Percidae
60,63,Riverine Grass Shrimp,Animalia,Palaemonidae
61,64,Crucian Carp,Animalia,Cyprinidae
62,65,Orangespotted Sunfish,Animalia,Centrarchidae
63,66,Trout Family,Animalia,Salmonidae
64,67,American Or Virginia Oyster,Animalia,Ostreidae
65,68,Atlantic Salmon,Animalia,Salmonidae
66,69,Brook Silverside,Animalia,Atherinidae
67,70,Water Flea,Animalia,Daphniidae
68,71,Striped Mullet,Animalia,Mugilidae
69,72,Marsh Grass Shrimp,Animalia,Palaemonidae
70,73,Sailfin Molly,Animalia,Poeciliidae
71,74,Brown Shrimp,Animalia,Penaeidae
72,75,Northern Pink Shrimp,Animalia,Penaeidae
73,76,Blue Crab,Animalia,Portunidae
74,77,Northern White Shrimp,Animalia,Penaeidae
75,78,Korean Or Oriental Shrimp,Animalia,Palaemonidae
76,79,Stonefly,Animalia,Pteronarcyidae
77,80,Bluehead Wrasse,Animalia,Labridae
78,81,Midge,Animalia,Chironomidae
79,82,Lake Trout. Siscowet,Animalia,Salmonidae
80,84,Sea Lamprey,Animalia,Petromyzontidae
81,85,Midge,Animalia,Chironomidae
82,86,Sheepshead Minnow,Animalia,Cyprinodontidae
83,87,Mayfly,Animalia,Heptageniidae
84,88,Striped Killifish,Animalia,Cyprinodontidae
85,89,Largemouth Bass,Animalia,Centrarchidae
86,90,Sockeye Salmon,Animalia,Salmonidae
87,91,Mayfly,Animalia,Baetidae
88,92,Caddisfly,Animalia,Limnephilidae
89,93,Stonefly,Animalia,Taeniopterygidae
90,94,Two-Spot Or Tic Tac Toe Barb,Animalia,Cyprinidae
91,95,Scissor Tail Rasbora,Animalia,Cyprinidae
92,96,Redear Sunfish,Animalia,Centrarchidae
93,97,Threespine Stickleback,Animalia,Gasterosteidae
94,98,Diatom,Chromista,Naviculaceae
95,99,Golden Stonefly. Willow Fly,Animalia,Perlidae
